gene,msi,component,r,r_abs
Efnb3,mz.298.062905,6,0.23286468,0.23286468
Efnb3,mz.297.069625,6,0.23278014,0.23278014
Zbtb20,mz.298.062905,6,0.23268121,0.23268121
Mobp,mz.298.06399999999996,6,0.23262186,0.23262186
Vxn,mz.592.0904700000001,6,-0.23251411,0.23251411
Olfm1,mz.560.1485299999999,6,-0.2323341,0.2323341
Rgs7bp,mz.297.069625,6,-0.23227042,0.23227042
Vxn,mz.394.12496,6,-0.23185325,0.23185325
Adcy1,mz.592.09793,6,-0.23175123,0.23175123
Zbtb20,mz.394.12496,6,0.23069936,0.23069936
Rgs7bp,mz.394.12496,6,-0.23050973,0.23050973
Sv2b,mz.280.092375,6,-0.2303682,0.2303682
Ppp3ca,mz.592.0904700000001,6,-0.23018537,0.23018537
Vxn,mz.297.069625,6,-0.2300582,0.2300582
Ptgds,mz.296.06595500000003,6,0.23005712,0.23005712
Sv2b,mz.258.110295,6,-0.2298966,0.2298966
Zbtb20,mz.297.06824,6,0.22987561,0.22987561
Vxn,mz.297.070615,6,-0.22950827,0.22950827
Olfm1,mz.259.113915,6,-0.2294167,0.2294167
Olfm1,mz.280.092375,6,-0.22939056,0.22939056
Vxn,mz.259.11330999999996,6,-0.22924206,0.22924206
Rgs7bp,mz.298.062905,6,-0.22908269,0.22908269
Rgs7bp,mz.298.06399999999996,6,-0.22902143,0.22902143
Mal,mz.297.070615,6,0.22899124,0.22899124
Apod,mz.592.0904700000001,6,0.22892071,0.22892071
Slc30a3,mz.592.0904700000001,6,-0.2288324,0.2288324
Olfm1,mz.281.09517,6,-0.22870046,0.22870046
Efnb3,mz.298.06399999999996,6,0.22868654,0.22868654
Vxn,mz.280.092375,6,-0.22858989,0.22858989
Adcy1,mz.280.092375,6,-0.22850515,0.22850515
Vxn,mz.296.06595500000003,6,-0.22847119,0.22847119
Apod,mz.296.06595500000003,6,0.22834608,0.22834608
Rgs7bp,mz.298.065095,6,-0.22834086,0.22834086
Ptgds,mz.592.0904700000001,6,0.22812593,0.22812593
Zbtb20,mz.298.065095,6,0.22812009,0.22812009
Adcy1,mz.560.1485299999999,6,-0.22773755,0.22773755
Sv2b,mz.560.1485299999999,6,-0.22720125,0.22720125
Ppp3ca,mz.298.062905,6,-0.2271299,0.2271299
Nptxr,mz.516.190135,6,-0.2265074,0.2265074
