gene,msi,component,r,r_abs
Cryab,mz.565.525445,6,0.17644554,0.17644554
Mbp,mz.150.886795,6,0.17631848,0.17631848
Apod,mz.171.006475,6,0.17595342,0.17595342
Clu,mz.573.512445,6,0.17589366,0.17589366
Cryab,mz.463.998265,6,0.17586106,0.17586106
Tppp3,mz.360.7937,6,0.17579529,0.17579529
Apod,mz.573.512445,6,0.1755689,0.1755689
Cryab,mz.573.512445,6,0.17556673,0.17556673
Pdyn,mz.228.965125,6,-0.1748519,0.1748519
Clu,mz.362.79088,6,0.17460483,0.17460483
Gng5,mz.505.96179,6,0.17449641,0.17449641
Clu,mz.301.764925,6,0.17419772,0.17419772
Gng5,mz.463.998265,6,0.17401981,0.17401981
Wfs1,mz.467.972585,6,-0.17384914,0.17384914
Clu,mz.305.75867,6,0.17294988,0.17294988
Gng5,mz.344.73039,6,0.17293876,0.17293876
Sept4,mz.342.00199,6,0.1729329,0.1729329
Plekhb1,mz.286.77187000000004,6,0.17219095,0.17219095
Apod,mz.342.00199,6,0.1718843,0.1718843
Plekhb1,mz.463.998265,6,0.17167519,0.17167519
Clu,mz.154.88083999999998,6,0.17148998,0.17148998
Sept4,mz.288.768965,6,0.17095089,0.17095089
Mbp,mz.152.883785,6,0.1707377,0.1707377
Plekhb1,mz.288.768965,6,0.1705859,0.1705859
Tppp3,mz.463.998265,6,0.1705396,0.1705396
Trf,mz.171.006475,6,0.17029503,0.17029503
Pdyn,mz.342.00199,6,-0.17021456,0.17021456
Hap1,mz.228.965125,6,-0.1700086,0.1700086
Trf,mz.284.77471,6,0.16996972,0.16996972
Dbndd2,mz.463.998265,6,0.1696881,0.1696881
Trf,mz.286.77187000000004,6,0.16962582,0.16962582
Clu,mz.360.7937,6,0.16953935,0.16953935
Dbndd2,mz.342.00199,6,0.16953444,0.16953444
Pnck,mz.171.006475,6,-0.16903514,0.16903514
Tppp3,mz.362.79088,6,0.16865157,0.16865157
Plekhb1,mz.565.525445,6,0.16824259,0.16824259
Mobp,mz.463.998265,6,0.16817689,0.16817689
Gpr83,mz.467.972585,6,-0.16773915,0.16773915
Ptma,mz.284.77471,6,0.16772021,0.16772021
Clu,mz.288.768965,6,0.16739461,0.16739461
Tppp3,mz.154.88083999999998,6,0.16738012,0.16738012
Car2,mz.463.998265,6,0.16723444,0.16723444
Wfs1,mz.154.88083999999998,6,-0.16702226,0.16702226
Dbndd2,mz.171.006475,6,0.16697478,0.16697478
Gng5,mz.208.84542,6,0.16687335,0.16687335
Mbp,mz.301.764925,6,0.16673972,0.16673972
Plekhb1,mz.282.77783,6,0.16667296,0.16667296
Gng5,mz.270.798065,6,0.16663805,0.16663805
Ptma,mz.565.525445,6,0.1663726,0.1663726
Bcas1,mz.463.998265,6,0.16608232,0.16608232
Plekhb1,mz.284.77471,6,0.16603446,0.16603446
Car2,mz.228.965125,6,0.16601124,0.16601124
Cd9,mz.282.77783,6,0.16571876,0.16571876
Car2,mz.171.006475,6,0.16571492,0.16571492
Plekhb1,mz.573.512445,6,0.16566062,0.16566062
