gene,msi,component,r,r_abs
Pcp4,mz.287.173085,7,0.3610319,0.3610319
Slc17a7,mz.384.99937,7,-0.36102596,0.36102596
Cck,mz.384.99937,7,-0.36097288,0.36097288
Pcp4l1,mz.364.902325,7,0.36067694,0.36067694
Penk,mz.203.930065,7,0.36054003,0.36054003
Arpp21,mz.863.68026,7,0.36050647,0.36050647
Pcp4,mz.395.913475,7,0.36026675,0.36026675
Arpp21,mz.369.025065,7,0.36001533,0.36001533
Penk,mz.201.932625,7,0.35987383,0.35987383
Adcy5,mz.217.9387,7,0.35972667,0.35972667
Drd2,mz.348.93134,7,0.35945347,0.35945347
Pcp4,mz.203.932345,7,0.35874808,0.35874808
Pcp4l1,mz.348.92984,7,0.3585196,0.3585196
Penk,mz.380.907875,7,0.3583591,0.3583591
Adora2a,mz.222.02953,7,0.35829693,0.35829693
Drd2,mz.287.173085,7,0.35808727,0.35808727
Penk,mz.540.910025,7,0.35802647,0.35802647
Adora2a,mz.241.12645,7,0.35796344,0.35796344
Inf2,mz.364.90382,7,0.35787427,0.35787427
Gpr88,mz.403.84944,7,0.35777634,0.35777634
Pde1b,mz.201.964465,7,0.35755408,0.35755408
Mef2c,mz.240.12396999999999,7,-0.35729626,0.35729626
Pcp4,mz.217.9387,7,0.3571998,0.3571998
Rasd2,mz.217.9387,7,0.35706514,0.35706514
Pcp4l1,mz.364.90545999999995,7,0.35665113,0.35665113
Pcp4l1,mz.384.99937,7,0.35537946,0.35537946
Rasd2,mz.163.97838,7,0.35508502,0.35508502
Ppp1r1b,mz.201.934135,7,0.35499632,0.35499632
Penk,mz.393.915395,7,0.3548193,0.3548193
Pcp4l1,mz.348.93134,7,0.3547271,0.3547271
Drd2,mz.348.92984,7,0.35451207,0.35451207
Pcp4l1,mz.369.025065,7,0.35432214,0.35432214
Pde1b,mz.201.932625,7,0.35424984,0.35424984
Drd2,mz.837.66747,7,0.35407755,0.35407755
Penk,mz.203.93183499999998,7,0.35402805,0.35402805
Nptxr,mz.240.12396999999999,7,-0.35402352,0.35402352
Nptxr,mz.240.123325,7,-0.3535287,0.3535287
Pde1b,mz.203.930065,7,0.35347927,0.35347927
Mef2c,mz.240.123325,7,-0.3534448,0.3534448
Pcp4,mz.203.930065,7,0.35288692,0.35288692
Tac1,mz.222.02953,7,0.35284448,0.35284448
Pde1b,mz.203.932345,7,0.35277176,0.35277176
Arpp21,mz.837.66747,7,0.35235023,0.35235023
Inf2,mz.364.90545999999995,7,0.35212335,0.35212335
Arpp21,mz.364.90382,7,0.35200864,0.35200864
Scn4b,mz.863.68026,7,0.35148185,0.35148185
Hpca,mz.364.90382,7,0.35140675,0.35140675
Tac1,mz.837.66747,7,0.3512981,0.3512981
Inf2,mz.364.902325,7,0.3512488,0.3512488
Gpr88,mz.380.907875,7,0.3511758,0.3511758
Adcy5,mz.369.025065,7,0.35109627,0.35109627
Pcp4l1,mz.348.92861500000004,7,0.35078427,0.35078427
Syndig1l,mz.364.90382,7,0.3506256,0.3506256
Drd2,mz.222.02953,7,0.35044834,0.35044834
Pde1b,mz.393.915395,7,0.34982792,0.34982792
Pcp4,mz.203.93183499999998,7,0.3493093,0.3493093
Penk,mz.203.93285500000002,7,0.3491688,0.3491688
Bcl11b,mz.240.123325,7,0.3487134,0.3487134
Drd2,mz.369.025065,7,0.34870648,0.34870648
Vxn,mz.240.12396999999999,7,-0.34865004,0.34865004
Pde10a,mz.201.934135,7,0.34830084,0.34830084
Vxn,mz.240.123325,7,-0.34815577,0.34815577
Drd2,mz.384.99937,7,0.34776092,0.34776092
Gpr88,mz.203.930065,7,0.34768468,0.34768468
Bcl11b,mz.240.12396999999999,7,0.34752584,0.34752584
Penk,mz.393.91748,7,0.34744504,0.34744504
Gng7,mz.241.12645,7,0.34716886,0.34716886
