msi,w,component,w_abs
mz.422.00613,0.35838032,0,0.35838032
mz.927.87348,0.35824826,0,0.35824826
mz.521.93526,0.35814524,0,0.35814524
mz.839.95173,0.35805523,0,0.35805523
mz.887.55363,0.35791412,0,0.35791412
mz.260.070945,0.35787776,0,0.35787776
mz.316.981005,0.35763738,0,0.35763738
mz.225.95568500000002,0.35746372,0,0.35746372
mz.206.0017,0.35724494,0,0.35724494
mz.597.4695300000001,0.3571225,0,0.3571225
mz.302.74577999999997,0.35694787,0,0.35694787
mz.181.964385,0.35692543,0,0.35692543
mz.598.07341,0.3567851,0,0.3567851
mz.666.07649,0.3567798,0,0.3567798
mz.744.5522550000001,0.35662416,0,0.35662416
mz.436.28272,0.35655338,0,0.35655338
mz.311.01882,0.35654142,0,0.35654142
mz.290.08606499999996,0.35650402,0,0.35650402
mz.774.5400050000001,0.35645086,0,0.35645086
mz.318.80912,0.3562031,0,0.3562031
mz.498.003325,0.35619685,0,0.35619685
mz.150.023155,0.35617375,0,0.35617375
mz.182.83463999999998,0.35561836,0,0.35561836
mz.464.22783,0.35528567,0,0.35528567
mz.251.0379,0.3552766,0,0.3552766
mz.404.00127499999996,0.3551185,0,0.3551185
mz.242.79024,0.3550593,0,0.3550593
mz.318.09159,0.35501865,0,0.35501865
mz.222.88584500000002,0.35499632,0,0.35499632
mz.376.944435,0.35461655,0,0.35461655
mz.834.525445,0.35459816,0,0.35459816
mz.449.00651,0.3543919,0,0.3543919
mz.231.986875,0.35428676,0,0.35428676
mz.336.07574999999997,0.35419324,0,0.35419324
mz.791.538235,0.35381883,0,0.35381883
mz.427.02500999999995,0.35371038,0,0.35371038
mz.605.456925,0.35347033,0,0.35347033
mz.606.4311299999999,0.35340664,0,0.35340664
mz.184.83167,0.35328275,0,0.35328275
mz.328.043005,0.35318363,0,0.35318363
mz.318.72122,0.35313657,0,0.35313657
mz.214.93393,0.35311309,0,0.35311309
mz.429.992895,0.35296702,0,0.35296702
mz.769.912975,0.3528697,0,0.3528697
mz.228.965125,0.35279998,0,0.35279998
mz.677.933855,0.35276604,0,0.35276604
mz.747.503355,0.35256147,0,0.35256147
mz.152.00241499999998,0.35243955,0,0.35243955
mz.446.30720499999995,0.35243943,0,0.35243943
mz.266.02199,0.35206926,0,0.35206926
mz.463.30143,0.35201585,0,0.35201585
mz.300.750335,0.35193577,0,0.35193577
mz.581.90256,0.35193172,0,0.35193172
mz.834.53605,0.35191116,0,0.35191116
mz.521.67598,0.3517217,0,0.3517217
mz.553.276075,0.3511813,0,0.3511813
mz.229.011935,0.35098353,0,0.35098353
mz.170.411185,0.35044333,0,0.35044333
mz.198.918045,0.35040632,0,0.35040632
mz.443.01993,0.34994388,0,0.34994388
mz.625.862185,0.3498249,0,0.3498249
mz.304.832425,0.34956565,0,0.34956565
mz.629.414355,0.34926593,0,0.34926593
mz.582.31153,0.34919223,0,0.34919223
mz.361.973875,0.3490373,0,0.3490373
mz.241.92969,0.34884262,0,0.34884262
mz.467.972585,0.34844133,0,0.34844133
mz.328.236155,0.34839845,0,0.34839845
mz.259.940135,0.34836957,0,0.34836957
mz.320.80623,0.34833604,0,0.34833604
mz.338.98863500000004,0.34819362,0,0.34819362
mz.637.400965,0.34791747,0,0.34791747
mz.344.039795,0.34772488,0,0.34772488
mz.482.029895,0.3476909,0,0.3476909
mz.371.074525,0.34737784,0,0.34737784
mz.170.85475,0.34736997,0,0.34736997
mz.130.88918,0.34734154,0,0.34734154
mz.458.107145,0.34726614,0,0.34726614
mz.460.09439,0.34722164,0,0.34722164
mz.462.081525,0.34721342,0,0.34721342
mz.329.061815,0.34688056,0,0.34688056
mz.302.7473,0.3467876,0,0.3467876
mz.375.2303,0.34653234,0,0.34653234
mz.380.76174,0.34642562,0,0.34642562
mz.433.72547,0.3464093,0,0.3464093
mz.209.62831,0.34629184,0,0.34629184
mz.178.018035,0.34623283,0,0.34623283
mz.350.04918499999997,0.34572822,0,0.34572822
mz.747.4933,0.3455832,0,0.3455832
mz.887.5678,0.34555197,0,0.34555197
mz.419.97867499999995,0.3453834,0,0.3453834
mz.333.710845,0.3453117,0,0.3453117
mz.121.99174,0.34509847,0,0.34509847
mz.130.88932499999999,0.34488058,0,0.34488058
mz.553.187535,0.34486267,0,0.34486267
mz.302.83524,0.34474128,0,0.34474128
mz.551.8835300000001,0.34461614,0,0.34461614
mz.748.50544,0.34456822,0,0.34456822
mz.272.0073,0.34448826,0,0.34448826
mz.242.07998,0.3444366,0,0.3444366
mz.374.071065,0.3444308,0,0.3444308
mz.429.85066,0.34438998,0,0.34438998
mz.762.504185,0.34419146,0,0.34419146
mz.172.88188000000002,0.3439593,0,0.3439593
mz.182.969515,0.34386894,0,0.34386894
mz.477.348025,0.34373274,0,0.34373274
mz.226.95193,0.3436288,0,0.3436288
mz.381.97076,0.3435961,0,0.3435961
mz.207.90921,0.34357506,0,0.34357506
mz.380.008735,0.34342355,0,0.34342355
mz.128.89213999999998,0.3432462,0,0.3432462
mz.478.29319,0.3432038,0,0.3432038
mz.240.793205,0.34268808,0,0.34268808
mz.521.3161299999999,0.34266075,0,0.34266075
mz.493.0517,0.342494,0,0.342494
mz.213.01071000000002,0.3424387,0,0.3424387
mz.784.473665,0.34238386,0,0.34238386
mz.389.786475,0.3423521,0,0.3423521
mz.226.81627500000002,0.34226215,0,0.34226215
mz.275.95605,0.34224948,0,0.34224948
mz.304.74267499999996,0.34224483,0,0.34224483
mz.291.09141999999997,0.3422158,0,0.3422158
mz.228.098985,0.342149,0,0.342149
mz.483.96723,0.34207934,0,0.34207934
mz.224.88294000000002,0.34192124,0,0.34192124
mz.858.516065,0.34183222,0,0.34183222
mz.272.95498,0.34177393,0,0.34177393
mz.297.99456,0.34117267,0,0.34117267
mz.464.088275,0.34107852,0,0.34107852
mz.748.4969100000001,0.34100562,0,0.34100562
mz.281.24852,0.34089282,0,0.34089282
mz.333.91443,0.34087238,0,0.34087238
mz.368.037475,0.3406191,0,0.3406191
mz.124.99149,0.33981845,0,0.33981845
mz.453.8844,0.3397851,0,0.3397851
mz.298.97044,0.339623,0,0.339623
mz.328.23794499999997,0.33958173,0,0.33958173
mz.337.704575,0.33957037,0,0.33957037
mz.304.74409,0.3395549,0,0.3395549
mz.566.49831,0.33950487,0,0.33950487
mz.355.004485,0.33932263,0,0.33932263
mz.309.0164,0.33901596,0,0.33901596
mz.170.41155,0.33897442,0,0.33897442
mz.248.957605,0.33896807,0,0.33896807
mz.353.860235,0.3387261,0,0.3387261
mz.260.038745,0.33867228,0,0.33867228
mz.382.10934,0.3383917,0,0.3383917
mz.799.9525,0.33838138,0,0.33838138
mz.448.11979499999995,0.3383099,0,0.3383099
