gene,w,component,w_abs
Rsad2,-0.0005099723,6,0.0005099723
Stag3,0.0005096225,6,0.0005096225
Gm45890,0.0005084136,6,0.0005084136
Spp1,0.00050821155,6,0.00050821155
Trim59,-0.000504325,6,0.000504325
Spg20,0.00049876986,6,0.00049876986
Trabd,0.0004967563,6,0.0004967563
P2ry13,-0.0004958303,6,0.0004958303
Nrbp2,0.00048718418,6,0.00048718418
B3gnt9,-0.00048621724,6,0.00048621724
Hhatl,-0.00048601755,6,0.00048601755
Bik,0.00047817928,6,0.00047817928
Mthfr,0.00047655523,6,0.00047655523
Slc12a2,-0.00047265698,6,0.00047265698
Dennd2a,-0.00046970768,6,0.00046970768
Cntf,0.00046779637,6,0.00046779637
Spidr,0.00046705434,6,0.00046705434
Pim3,-0.00045979818,6,0.00045979818
Creb5,-0.0004577606,6,0.0004577606
Adarb2,-0.00045771067,6,0.00045771067
Rfx7,-0.00045713,6,0.00045713
Safb,-0.00045651288,6,0.00045651288
Elovl1,0.00045589174,6,0.00045589174
Slc26a6,0.00045472055,6,0.00045472055
Cit,-0.0004541826,6,0.0004541826
1600020E01Rik,0.00045293153,6,0.00045293153
Krt28,0.00045213368,6,0.00045213368
Sox10,-0.00045061574,6,0.00045061574
Tnfrsf13c,-0.0004484644,6,0.0004484644
Cyct,0.00044683265,6,0.00044683265
Doc2g,0.00044356665,6,0.00044356665
Icosl,0.0004411738,6,0.0004411738
Dnajc10,-0.000440437,6,0.000440437
Mastl,-0.00044016237,6,0.00044016237
Wrap53,-0.00044005492,6,0.00044005492
Gem,0.00043921682,6,0.00043921682
Cip2a,-0.0004368187,6,0.0004368187
Spice1,0.0004361061,6,0.0004361061
Bfsp2,-0.00042987187,6,0.00042987187
Pex11g,0.00042871234,6,0.00042871234
Ltbr,-0.00042864046,6,0.00042864046
Chdh,-0.00042600068,6,0.00042600068
E330013P04Rik,0.00042389624,6,0.00042389624
Gpr6,-0.00042245345,6,0.00042245345
Lap3,-0.00042221058,6,0.00042221058
Ahnak,0.00041882828,6,0.00041882828
Rcor3,0.00041871925,6,0.00041871925
Ermn,0.00041718074,6,0.00041718074
Ephb4,0.00041680518,6,0.00041680518
Asnsd1,-0.0004089625,6,0.0004089625
Hbb-y,-0.00040694475,6,0.00040694475
Gpatch2,0.00040678473,6,0.00040678473
Klhl6,-0.00040411935,6,0.00040411935
Ppfia2,-0.00040374274,6,0.00040374274
Mlph,0.00040362965,6,0.00040362965
Cavin3,-0.0004013856,6,0.0004013856
Tmbim1,0.00040077337,6,0.00040077337
Dennd1c,-0.00040023532,6,0.00040023532
Fbxl17,-0.00040015657,6,0.00040015657
Gstp2,-0.00039455353,6,0.00039455353
Pcdhga12,0.00039273215,6,0.00039273215
Itpk1,0.00039220118,6,0.00039220118
5031439G07Rik,0.00039103255,6,0.00039103255
Gm20234,-0.0003906097,6,0.0003906097
Itpr2,-0.00038909088,6,0.00038909088
D16Ertd472e,0.00038686686,6,0.00038686686
Icos,-0.00038635588,6,0.00038635588
Pcmtd2,0.0003813798,6,0.0003813798
Ets1,0.00038015572,6,0.00038015572
Col10a1,-0.0003770199,6,0.0003770199
Gm16758,-0.00037690645,6,0.00037690645
Slamf6,-0.00037373762,6,0.00037373762
Tec,-0.00037315063,6,0.00037315063
Camk2n2,-0.00037017599,6,0.00037017599
Parn,0.00036987624,6,0.00036987624
Cda,-0.0003664114,6,0.0003664114
Endod1,0.0003654837,6,0.0003654837
Fbxo7,0.00036535968,6,0.00036535968
Cenpl,-0.00036489902,6,0.00036489902
Nkx6-2,-0.00036277185,6,0.00036277185
Ttyh2,0.00036144638,6,0.00036144638
Gm15462,0.0003601615,6,0.0003601615
Asxl3,0.00035910422,6,0.00035910422
Lemd2,-0.000355477,6,0.000355477
Rhog,0.00035324245,6,0.00035324245
