gene,w,component,w_abs
Adamtsl4,0.021852234,2,0.021852234
Cyp27a1,0.021587001,2,0.021587001
Lhx2,-0.021482682,2,0.021482682
Gm15912,0.021428129,2,0.021428129
Itch,-0.021409713,2,0.021409713
Pogk,0.021125538,2,0.021125538
Sccpdh,0.021017607,2,0.021017607
Golga7,0.020985497,2,0.020985497
Ppl,0.020667307,2,0.020667307
Slain1,0.02064606,2,0.02064606
Ccn2,0.020241836,2,0.020241836
Pdgfa,0.020136964,2,0.020136964
Zfp952,-0.020126445,2,0.020126445
Erbin,0.020022407,2,0.020022407
S100a13,0.020012163,2,0.020012163
Lamp2,0.019881643,2,0.019881643
Rps6ka1,0.019859541,2,0.019859541
Myb,0.019806262,2,0.019806262
Sgk2,0.019735128,2,0.019735128
Ltv1,-0.019682148,2,0.019682148
Gadd45g,0.019521292,2,0.019521292
Ccdc153,-0.019451514,2,0.019451514
Dnajb2,0.01941514,2,0.01941514
Fmnl3,0.019394077,2,0.019394077
Cenpb,0.019184995,2,0.019184995
Prdx1,0.019157497,2,0.019157497
Plekhf1,0.019123802,2,0.019123802
Aldh6a1,-0.019089594,2,0.019089594
Necab2,-0.018909987,2,0.018909987
Rcn3,-0.018881304,2,0.018881304
Gm16168,0.01887236,2,0.01887236
Rassf2,0.018806474,2,0.018806474
Cd9,0.018790346,2,0.018790346
Gpr62,0.01843324,2,0.01843324
Lzts2,0.018419152,2,0.018419152
Cyp2j12,0.018362388,2,0.018362388
Sema6d,0.018345546,2,0.018345546
Insc,0.018328566,2,0.018328566
Sema6a,0.01829479,2,0.01829479
C4b,0.018266337,2,0.018266337
Ltbr,0.018155115,2,0.018155115
Trmt10b,0.017926881,2,0.017926881
Nfkbia,0.017768202,2,0.017768202
Cd63,0.01769254,2,0.01769254
Cald1,0.017675,2,0.017675
Bag4,-0.017673586,2,0.017673586
Dixdc1,0.017614447,2,0.017614447
Zcchc24,0.017522974,2,0.017522974
Maf,-0.01739392,2,0.01739392
Gm33594,0.017329639,2,0.017329639
Procr,0.01726473,2,0.01726473
Daam2,0.017182197,2,0.017182197
Penk,-0.01714714,2,0.01714714
Gm26801,-0.01685684,2,0.01685684
Josd2,0.016841447,2,0.016841447
Bfsp2,0.016623832,2,0.016623832
Dip2a,0.016611151,2,0.016611151
Ephb1,0.016473753,2,0.016473753
Lin7c,-0.016398916,2,0.016398916
Rdx,0.016226284,2,0.016226284
Zkscan6,-0.016139913,2,0.016139913
Gimap4,0.015989672,2,0.015989672
Gm15478,0.015964814,2,0.015964814
Tspan15,0.015810162,2,0.015810162
Aebp1,0.01572797,2,0.01572797
Shank1,-0.015711347,2,0.015711347
Nipal4,0.01568751,2,0.01568751
Llgl1,0.015661247,2,0.015661247
Irf2bp1,-0.015653377,2,0.015653377
Cuedc1,0.0155410925,2,0.0155410925
Stk16,0.015446615,2,0.015446615
P2rx7,0.015419345,2,0.015419345
Stxbp3,0.0154110305,2,0.0154110305
Gm36988,-0.015351851,2,0.015351851
Arrdc2,0.015341429,2,0.015341429
Alx4,-0.015319944,2,0.015319944
Krr1,-0.015289441,2,0.015289441
Cenpj,0.015281586,2,0.015281586
Adgra3,-0.015196983,2,0.015196983
Rflnb,0.0151541205,2,0.0151541205
Pxmp2,0.015124298,2,0.015124298
Shisa4,0.014967778,2,0.014967778
AI506816,0.014952729,2,0.014952729
Hes5,-0.014939051,2,0.014939051
Lcn2,-0.014925887,2,0.014925887
Camk1d,-0.014745857,2,0.014745857
Ryr3,-0.0146252625,2,0.0146252625
Gm20063,-0.014622059,2,0.014622059
Rffl,0.014332699,2,0.014332699
Fah,0.014322005,2,0.014322005
Fanca,0.014162366,2,0.014162366
Garnl3,0.014156869,2,0.014156869
Gng12,0.014147455,2,0.014147455
Smoc2,-0.014123456,2,0.014123456
1700056E22Rik,0.014006455,2,0.014006455
1190005I06Rik,0.013912809,2,0.013912809
Anapc13,0.013842815,2,0.013842815
Pmp22,0.013826787,2,0.013826787
Rcbtb1,0.013809353,2,0.013809353
Clic4,0.013738665,2,0.013738665
1700019G24Rik,0.013646278,2,0.013646278
Gng4,-0.013452473,2,0.013452473
Nol3,0.013382907,2,0.013382907
Sst,-0.013368909,2,0.013368909
Ccl3,-0.013311674,2,0.013311674
Txnip,0.012907649,2,0.012907649
Zfp950,-0.012867611,2,0.012867611
S100a1,0.012804654,2,0.012804654
Abhd5,0.012692458,2,0.012692458
Zfhx3,-0.012632643,2,0.012632643
Rab33b,0.012584436,2,0.012584436
Dusp15,0.012551795,2,0.012551795
Tac2,-0.012538763,2,0.012538763
A230009B12Rik,0.0125305755,2,0.0125305755
Pnpla2,0.012456228,2,0.012456228
Calr3,0.012418549,2,0.012418549
Snap23,0.01240146,2,0.01240146
Atp1a2,0.0121464785,2,0.0121464785
Dbi,0.012117462,2,0.012117462
Macrod1,0.012003187,2,0.012003187
Sox2ot,0.011822987,2,0.011822987
Mpv17l,-0.011672911,2,0.011672911
Prr16,-0.011657669,2,0.011657669
Ech1,0.011598413,2,0.011598413
Plekha5,-0.011447385,2,0.011447385
Car14,0.0112549,2,0.0112549
Gpr156,0.011150863,2,0.011150863
Spsb1,0.011149579,2,0.011149579
Kdm6a,-0.011074175,2,0.011074175
Gstp2,0.010964593,2,0.010964593
Snx33,0.010925041,2,0.010925041
Hist2h2be,0.010920424,2,0.010920424
Zbtb20,0.010900479,2,0.010900479
Ciao2b,-0.010868863,2,0.010868863
Gm973,0.010611384,2,0.010611384
Gstm1,0.010532966,2,0.010532966
Ecrg4,0.01051489,2,0.01051489
Jsrp1,-0.010456812,2,0.010456812
Tns3,0.010447657,2,0.010447657
Zhx2,0.010424093,2,0.010424093
Cep104,-0.01033437,2,0.01033437
Gm10053,-0.010315023,2,0.010315023
Gcc2,-0.010262909,2,0.010262909
Zdhhc9,0.010244644,2,0.010244644
Cd209f,0.010225762,2,0.010225762
Nup205,-0.010214275,2,0.010214275
Hmgn5,0.010192022,2,0.010192022
Nagpa,0.01009302,2,0.01009302
Mid1ip1,0.010088404,2,0.010088404
Aqp5,-0.010059494,2,0.010059494
Nkd1,0.009842866,2,0.009842866
Parp9,-0.009807128,2,0.009807128
Nacc2,0.009720684,2,0.009720684
Ly6g6f,0.009687974,2,0.009687974
Calml4,0.00967361,2,0.00967361
Efna1,0.009647884,2,0.009647884
Wnt3,0.009601707,2,0.009601707
Irf2bpl,-0.009540382,2,0.009540382
Srcin1,0.009495506,2,0.009495506
Sox11,-0.009442336,2,0.009442336
Gm29773,0.009435541,2,0.009435541
Fam53b,0.009321573,2,0.009321573
Ccdc40,0.009293004,2,0.009293004
Lama3,-0.009177757,2,0.009177757
Gm7854,0.009144213,2,0.009144213
Gadd45a,0.009113921,2,0.009113921
Mmp11,0.009030079,2,0.009030079
Trim36,0.008972543,2,0.008972543
Rassf1,-0.008888968,2,0.008888968
Dpy19l1,0.0088539515,2,0.0088539515
Wdr20,-0.008831349,2,0.008831349
Mafk,-0.008826008,2,0.008826008
Aox4,-0.00881672,2,0.00881672
Syngr2,0.008690525,2,0.008690525
Scd3,0.008578609,2,0.008578609
A330032B11Rik,-0.008534655,2,0.008534655
Ccdc34,0.008461609,2,0.008461609
Chdh,0.008421745,2,0.008421745
Edn3,-0.00840567,2,0.00840567
Alyref,0.008287344,2,0.008287344
Npc2,0.008285731,2,0.008285731
Kmt5a,0.008221612,2,0.008221612
Klhl13,-0.008208315,2,0.008208315
Acan,0.008187349,2,0.008187349
Chmp5,0.0081195915,2,0.0081195915
Ndufaf2,0.008040171,2,0.008040171
Gcnt2,-0.008023698,2,0.008023698
Twnk,0.007993586,2,0.007993586
Slc6a9,0.007971092,2,0.007971092
Tnrc18,-0.007947703,2,0.007947703
Tent4a,-0.007936328,2,0.007936328
