gene,msi,component,r,r_abs
mt-Co2,mz.354.1128,0,0.27208132,0.27208132
Ptk2b,mz.431.08294,0,0.2720715,0.2720715
mt-Nd3,mz.354.14918,0,0.2719973,0.2719973
mt-Co2,mz.398.13898,0,0.27185377,0.27185377
Ptk2b,mz.382.14402,0,0.27174377,0.27174377
Ptk2b,mz.432.08618,0,0.27160856,0.27160856
Pvalb,mz.554.0458,0,-0.2710328,0.2710328
Plp1,mz.555.04915,0,-0.2708291,0.2708291
Ptgds,mz.555.04915,0,-0.2706084,0.2706084
Stmn4,mz.427.13472,0,-0.27053162,0.27053162
Pvalb,mz.697.2391,0,-0.27049994,0.27049994
mt-Nd3,mz.382.14402,0,0.27036887,0.27036887
Malat1,mz.416.11226,0,0.2703627,0.2703627
Mag,mz.428.14952,0,-0.2703178,0.2703178
Ptgds,mz.697.2391,0,-0.27006403,0.27006403
Stmn4,mz.555.04915,0,-0.2700031,0.2700031
Mag,mz.697.2391,0,-0.26994377,0.26994377
mt-Co2,mz.555.04915,0,0.26970854,0.26970854
mt-Nd3,mz.432.08618,0,0.269578,0.269578
mt-Nd3,mz.555.04915,0,0.26945063,0.26945063
Olfm1,mz.352.13361,0,0.26931968,0.26931968
Olfm1,mz.862.08498,0,0.26903695,0.26903695
Pvalb,mz.698.23612,0,-0.26902583,0.26902583
Olfm1,mz.310.12302,0,0.2689655,0.2689655
mt-Atp6,mz.354.1128,0,0.26856276,0.26856276
Cpne7,mz.555.04915,0,0.26849246,0.26849246
Olfm1,mz.433.08939,0,0.26829496,0.26829496
Malat1,mz.427.14125,0,0.26815745,0.26815745
mt-Nd3,mz.427.13472,0,0.26806948,0.26806948
Ptk2b,mz.428.14952,0,0.26801142,0.26801142
Endod1,mz.453.06455,0,-0.2678837,0.2678837
Stmn4,mz.428.14952,0,-0.26786417,0.26786417
Stmn4,mz.382.14402,0,-0.26745433,0.26745433
Endod1,mz.458.16003,0,-0.26742142,0.26742142
Olfm1,mz.470.04199,0,0.26720062,0.26720062
Mag,mz.382.14402,0,-0.26718178,0.26718178
Nrgn,mz.310.12302,0,0.26692456,0.26692456
mt-Co2,mz.862.09285,0,0.26681387,0.26681387
Olfm1,mz.431.07851,0,0.2667037,0.2667037
Rpl4,mz.352.13361,0,-0.26656803,0.26656803
Stmn4,mz.697.2391,0,-0.2665352,0.2665352
Malat1,mz.433.07846,0,0.26652756,0.26652756
