msi,w,component,w_abs
mz.798.53103,0.3002757,0,0.3002757
mz.395.913475,0.30015898,0,0.30015898
mz.620.97792,0.30007222,0,0.30007222
mz.192.99022,0.2997053,0,0.2997053
mz.252.97081500000002,0.29969832,0,0.29969832
mz.518.874235,0.29965532,0,0.29965532
mz.542.8837249999999,0.29908636,0,0.29908636
mz.425.928155,0.29863912,0,0.29863912
mz.726.063005,0.29841313,0,0.29841313
mz.421.919485,0.29755738,0,0.29755738
mz.222.02953,0.2973129,0,0.2973129
mz.868.4544450000001,0.29716995,0,0.29716995
mz.580.01692,0.29695258,0,0.29695258
mz.742.47786,0.29643416,0,0.29643416
mz.740.474425,0.29640877,0,0.29640877
mz.840.4292350000001,0.2960694,0,0.2960694
mz.192.91047500000002,0.2960104,0,0.2960104
mz.368.97641,0.29595768,0,0.29595768
mz.844.451995,0.29583138,0,0.29583138
mz.146.1181,0.29580948,0,0.29580948
mz.814.514295,0.2953551,0,0.2953551
mz.705.0847650000001,0.29517707,0,0.29517707
mz.845.77291,0.29489416,0,0.29489416
mz.270.11965,0.29476172,0,0.29476172
mz.250.09344,0.2947521,0,0.2947521
mz.702.068165,0.2945685,0,0.2945685
mz.801.530895,0.29430282,0,0.29430282
mz.503.942905,0.29426035,0,0.29426035
mz.580.0210649999999,0.2941328,0,0.2941328
mz.421.95758,0.29379225,0,0.29379225
mz.209.95694500000002,0.29336816,0,0.29336816
mz.617.9623899999999,0.29332384,0,0.29332384
mz.229.93383,0.29297176,0,0.29297176
mz.189.16022,0.29258013,0,0.29258013
mz.210.94100500000002,0.2922349,0,0.2922349
mz.312.91019,0.2921434,0,0.2921434
mz.569.92071,0.29207894,0,0.29207894
mz.657.9269300000001,0.2920637,0,0.2920637
mz.444.96778,0.2919657,0,0.2919657
mz.332.893935,0.29184496,0,0.29184496
mz.734.04588,0.29173094,0,0.29173094
mz.480.92035999999996,0.29161572,0,0.29161572
mz.350.96619,0.29152647,0,0.29152647
mz.656.93631,0.29117063,0,0.29117063
mz.193.99796,0.2910742,0,0.2910742
mz.348.04476,0.2910738,0,0.2910738
mz.831.49963,0.29095092,0,0.29095092
mz.339.97446,0.29082388,0,0.29082388
mz.230.95022,0.29048476,0,0.29048476
mz.262.060405,0.28988332,0,0.28988332
mz.580.015035,0.28985044,0,0.28985044
mz.190.912775,0.28949496,0,0.28949496
mz.407.845495,0.2891028,0,0.2891028
mz.223.03314,0.2887943,0,0.2887943
mz.617.9649549999999,0.2886002,0,0.2886002
mz.774.52054,0.28847262,0,0.28847262
mz.775.5177100000001,0.28830373,0,0.28830373
mz.581.022995,0.28815737,0,0.28815737
mz.614.903995,0.28815338,0,0.28815338
mz.224.02793,0.2880068,0,0.2880068
mz.367.968795,0.2878563,0,0.2878563
mz.233.94803000000002,0.2877722,0,0.2877722
mz.558.94063,0.28774747,0,0.28774747
mz.228.93087500000001,0.28759235,0,0.28759235
mz.270.11883,0.2875245,0,0.2875245
mz.245.954285,0.28707433,0,0.28707433
mz.964.50837,0.28700548,0,0.28700548
mz.756.48681,0.28698498,0,0.28698498
mz.830.500175,0.2869712,0,0.2869712
mz.382.89424,0.28690153,0,0.28690153
mz.394.91811,0.2868407,0,0.2868407
mz.235.993985,0.28662494,0,0.28662494
mz.773.52124,0.2865925,0,0.2865925
mz.193.98063,0.28623787,0,0.28623787
mz.270.12063,0.28623188,0,0.28623188
mz.744.48658,0.285072,0,0.285072
mz.443.948085,0.28499883,0,0.28499883
mz.423.928335,0.28499636,0,0.28499636
mz.262.061095,0.28494492,0,0.28494492
mz.466.99468,0.2848922,0,0.2848922
mz.414.96924,0.2848694,0,0.2848694
mz.217.9387,0.2848527,0,0.2848527
mz.772.51916,0.2847599,0,0.2847599
mz.330.93838,0.2847191,0,0.2847191
mz.564.2477799999999,0.28469107,0,0.28469107
mz.463.87351,0.2845776,0,0.2845776
mz.444.036195,0.28432247,0,0.28432247
mz.384.8918,0.2837547,0,0.2837547
mz.338.96612,0.2836458,0,0.2836458
mz.802.54909,0.28363338,0,0.28363338
mz.422.92453,0.28349623,0,0.28349623
mz.912.44283,0.28337595,0,0.28337595
mz.229.94082,0.28333205,0,0.28333205
mz.231.94242500000001,0.283324,0,0.283324
mz.398.99552500000004,0.2832676,0,0.2832676
mz.235.9933,0.28324372,0,0.28324372
mz.423.91767,0.28318346,0,0.28318346
mz.414.010245,0.2828751,0,0.2828751
mz.294.938215,0.2826639,0,0.2826639
mz.467.98914,0.2826221,0,0.2826221
mz.424.97778500000004,0.28260094,0,0.28260094
mz.192.014945,0.2824673,0,0.2824673
mz.400.14838499999996,0.2822782,0,0.2822782
mz.799.53159,0.2821346,0,0.2821346
mz.580.011265,0.28211522,0,0.28211522
mz.527.0692799999999,0.28211424,0,0.28211424
mz.337.866275,0.28195378,0,0.28195378
mz.377.941235,0.2817511,0,0.2817511
mz.786.4811,0.28143436,0,0.28143436
mz.852.492045,0.28111696,0,0.28111696
mz.288.92753500000003,0.28105524,0,0.28105524
mz.582.02649,0.2809571,0,0.2809571
mz.630.1966,0.28066096,0,0.28066096
mz.392.90790000000004,0.28063914,0,0.28063914
mz.179.98279000000002,0.28021935,0,0.28021935
mz.815.93924,0.28000674,0,0.28000674
mz.174.979735,0.2798477,0,0.2798477
mz.913.447445,0.27980644,0,0.27980644
mz.565.248515,0.27977344,0,0.27977344
mz.312.92774,0.27948475,0,0.27948475
mz.802.46901,0.27943543,0,0.27943543
mz.852.470875,0.2790566,0,0.2790566
mz.192.985715,0.27895537,0,0.27895537
mz.162.956185,0.2787511,0,0.2787511
mz.815.517345,0.2786175,0,0.2786175
mz.232.95267,0.27855927,0,0.27855927
mz.828.4861599999999,0.2784251,0,0.2784251
mz.565.049225,0.2783534,0,0.2783534
mz.321.89279,0.27826935,0,0.27826935
mz.715.4554,0.278119,0,0.278119
mz.379.939545,0.27809274,0,0.27809274
mz.801.54745,0.27804795,0,0.27804795
mz.599.937375,0.27803746,0,0.27803746
mz.289.92275500000005,0.27778307,0,0.27778307
mz.616.90416,0.2772069,0,0.2772069
mz.852.48227,0.2771145,0,0.2771145
mz.529.92841,0.27701917,0,0.27701917
mz.613.90053,0.27652562,0,0.27652562
mz.254.01948,0.276155,0,0.276155
mz.963.4642699999999,0.27607659,0,0.27607659
mz.400.14659,0.27592662,0,0.27592662
mz.845.453305,0.27586648,0,0.27586648
mz.137.071495,0.27584076,0,0.27584076
mz.800.5404,0.27572918,0,0.27572918
mz.564.0488399999999,0.27567497,0,0.27567497
mz.427.97361,0.2755709,0,0.2755709
mz.353.88166,0.27556774,0,0.27556774
mz.370.05167,0.27554476,0,0.27554476
mz.516.28298,0.2753578,0,0.2753578
mz.366.920215,0.27511686,0,0.27511686
mz.514.974305,0.27505144,0,0.27505144
mz.464.945735,0.27484477,0,0.27484477
mz.369.96241,0.27468127,0,0.27468127
mz.717.90417,0.2746257,0,0.2746257
mz.585.893825,0.27451813,0,0.27451813
mz.873.544905,0.2739506,0,0.2739506
mz.336.94858,0.27389634,0,0.27389634
mz.424.96463500000004,0.2732545,0,0.2732545
mz.158.922545,0.27301612,0,0.27301612
mz.337.949665,0.27284792,0,0.27284792
mz.872.54763,0.27265194,0,0.27265194
mz.368.01415,0.27251008,0,0.27251008
mz.133.074345,0.2718946,0,0.2718946
mz.174.93848000000003,0.27182338,0,0.27182338
mz.403.02405,0.27170897,0,0.27170897
mz.803.47875,0.2716813,0,0.2716813
mz.465.990335,0.27146333,0,0.27146333
mz.583.91059,0.2713819,0,0.2713819
mz.761.441775,0.2711947,0,0.2711947
mz.465.93002,0.27106678,0,0.27106678
mz.615.911165,0.270954,0,0.270954
mz.715.44565,0.2708724,0,0.2708724
mz.822.524285,0.27083376,0,0.27083376
mz.697.942605,0.27083257,0,0.27083257
mz.276.14437999999996,0.27075598,0,0.27075598
mz.787.4662599999999,0.27063775,0,0.27063775
mz.170.04289,0.270541,0,0.270541
mz.196.87833999999998,0.27052635,0,0.27052635
mz.385.96282499999995,0.27022842,0,0.27022842
mz.424.96686,0.2695209,0,0.2695209
mz.203.93285500000002,0.26927266,0,0.26927266
mz.298.09684500000003,0.2691568,0,0.2691568
mz.368.96055,0.26898545,0,0.26898545
mz.340.981915,0.26842618,0,0.26842618
mz.785.445185,0.26835197,0,0.26835197
mz.874.4870599999999,0.26824746,0,0.26824746
mz.147.076965,0.26771244,0,0.26771244
mz.384.98044000000004,0.26722917,0,0.26722917
mz.770.504815,0.26715454,0,0.26715454
mz.600.929655,0.2671355,0,0.2671355
mz.463.84772,0.26711634,0,0.26711634
mz.542.9041950000001,0.267113,0,0.267113
mz.399.143595,0.2669393,0,0.2669393
mz.468.006315,0.2666252,0,0.2666252
mz.268.09378000000004,0.2664229,0,0.2664229
mz.582.0355950000001,0.26627314,0,0.26627314
mz.291.975255,0.2662595,0,0.2662595
mz.544.021825,0.26600826,0,0.26600826
mz.424.93085499999995,0.26580185,0,0.26580185
mz.303.026395,0.2655678,0,0.2655678
mz.558.8993399999999,0.2650741,0,0.2650741
mz.437.935315,0.26505858,0,0.26505858
mz.251.09679,0.26474252,0,0.26474252
mz.242.07935500000002,0.26459813,0,0.26459813
mz.692.0390600000001,0.26436856,0,0.26436856
mz.130.05041,0.26431817,0,0.26431817
mz.825.56011,0.26386666,0,0.26386666
mz.185.95974,0.26365286,0,0.26365286
mz.459.85972000000004,0.26297027,0,0.26297027
mz.376.93442,0.26281822,0,0.26281822
mz.485.93596,0.2628091,0,0.2628091
mz.807.503055,0.2627393,0,0.2627393
mz.294.143555,0.26263148,0,0.26263148
mz.771.983375,0.2620901,0,0.2620901
mz.844.505525,0.26169,0,0.26169
mz.771.513005,0.26156998,0,0.26156998
mz.686.09478,0.2614964,0,0.2614964
mz.845.51016,0.26142186,0,0.26142186
mz.404.937415,0.2613414,0,0.2613414
mz.734.949365,0.26126426,0,0.26126426
mz.832.49605,0.26121938,0,0.26121938
mz.250.09267499999999,0.26118433,0,0.26118433
mz.214.01209999999998,0.26115665,0,0.26115665
mz.269.09628999999995,0.2610952,0,0.2610952
mz.169.05884,0.2610571,0,0.2610571
mz.834.53353,0.26022553,0,0.26022553
mz.592.09793,0.2601932,0,0.2601932
mz.322.05467,0.26009378,0,0.26009378
mz.185.960205,0.26005045,0,0.26005045
mz.850.564545,0.25998366,0,0.25998366
mz.382.956495,0.25984567,0,0.25984567
mz.557.89513,0.25980812,0,0.25980812
mz.847.53386,0.25973868,0,0.25973868
mz.765.4801649999999,0.25952137,0,0.25952137
mz.594.92839,0.25949693,0,0.25949693
mz.426.98162,0.25921065,0,0.25921065
mz.779.997425,0.25917298,0,0.25917298
mz.804.493205,0.25893137,0,0.25893137
mz.870.538665,0.25882298,0,0.25882298
mz.824.5550800000001,0.25833008,0,0.25833008
mz.875.485345,0.25820747,0,0.25820747
mz.324.98720000000003,0.2581231,0,0.2581231
mz.251.94351,0.25789845,0,0.25789845
mz.592.2409150000001,0.2577659,0,0.2577659
mz.204.122975,0.25773746,0,0.25773746
mz.282.04857000000004,0.25773054,0,0.25773054
mz.588.30319,0.25754797,0,0.25754797
mz.193.98302999999999,0.25747076,0,0.25747076
mz.423.920285,0.2572073,0,0.2572073
mz.560.9648,0.25708625,0,0.25708625
mz.132.07691,0.25702685,0,0.25702685
mz.418.921995,0.25676572,0,0.25676572
mz.578.202385,0.2564316,0,0.2564316
mz.739.45501,0.25632203,0,0.25632203
mz.527.0649249999999,0.25631818,0,0.25631818
mz.368.01567,0.2562193,0,0.2562193
mz.807.513275,0.25620067,0,0.25620067
mz.762.4452550000001,0.2561784,0,0.2561784
mz.642.97039,0.25606576,0,0.25606576
mz.481.985485,0.25596103,0,0.25596103
mz.402.018185,0.2558911,0,0.2558911
mz.806.509415,0.25544652,0,0.25544652
mz.425.984455,0.25533065,0,0.25533065
mz.711.430485,0.25527087,0,0.25527087
mz.358.04551000000004,0.2551167,0,0.2551167
mz.853.4937500000001,0.2550689,0,0.2550689
mz.330.07264999999995,0.2549425,0,0.2549425
mz.349.03298,0.25491372,0,0.25491372
mz.371.90414,0.25489032,0,0.25489032
mz.424.93348000000003,0.25488484,0,0.25488484
mz.789.47542,0.25473198,0,0.25473198
mz.788.495675,0.2546714,0,0.2546714
mz.758.5070499999999,0.25453666,0,0.25453666
mz.821.516035,0.25419697,0,0.25419697
mz.772.55125,0.25357205,0,0.25357205
mz.424.92276000000004,0.25347185,0,0.25347185
mz.165.066415,0.25314942,0,0.25314942
mz.849.5583799999999,0.253132,0,0.253132
mz.378.94491000000005,0.25301403,0,0.25301403
mz.617.959395,0.25272027,0,0.25272027
mz.820.5117700000001,0.25196913,0,0.25196913
mz.154.0589,0.25195816,0,0.25195816
mz.870.465665,0.25190762,0,0.25190762
mz.790.5038,0.25187585,0,0.25187585
mz.441.974285,0.25182757,0,0.25182757
mz.191.98236500000002,0.25139487,0,0.25139487
mz.689.3936,0.25136533,0,0.25136533
mz.871.5381600000001,0.25120172,0,0.25120172
mz.539.99158,0.251062,0,0.251062
mz.846.51799,0.25078684,0,0.25078684
mz.664.1156900000001,0.25073183,0,0.25073183
mz.574.873955,0.25072628,0,0.25072628
mz.350.084215,0.2505464,0,0.2505464
mz.535.2971,0.25037292,0,0.25037292
mz.331.022195,0.2502469,0,0.2502469
mz.204.12358,0.2502139,0,0.2502139
mz.824.54441,0.24974382,0,0.24974382
mz.291.04627,-0.24947003,0,0.24947003
mz.870.52848,0.2494226,0,0.2494226
mz.787.4857099999999,0.24938191,0,0.24938191
mz.219.93651,0.24935122,0,0.24935122
mz.586.2262499999999,0.24929994,0,0.24929994
mz.334.08182999999997,0.2489034,0,0.2489034
mz.598.92507,0.24876384,0,0.24876384
mz.848.55056,0.24869151,0,0.24869151
mz.414.336535,0.24810854,0,0.24810854
mz.201.964465,0.24787255,0,0.24787255
mz.815.9728,0.24786466,0,0.24786466
mz.951.55627,0.24769937,0,0.24769937
mz.450.017305,0.2475961,0,0.2475961
mz.580.0440550000001,-0.24745396,0,0.24745396
mz.513.955275,0.24732879,0,0.24732879
mz.688.1054899999999,0.24718171,0,0.24718171
mz.368.89331,0.24702989,0,0.24702989
mz.319.426305,0.24693069,0,0.24693069
mz.680.922145,0.24641116,0,0.24641116
mz.386.046445,0.24620941,0,0.24620941
mz.203.22343,0.2458568,0,0.2458568
mz.601.986105,0.24577926,0,0.24577926
mz.621.8647149999999,0.24538283,0,0.24538283
mz.544.0808400000001,0.2452337,0,0.2452337
mz.818.0297949999999,-0.2452101,0,0.2452101
mz.502.97609,0.24518265,0,0.24518265
mz.796.5238999999999,0.2451221,0,0.2451221
mz.797.5878399999999,0.24478249,0,0.24478249
mz.582.0602650000001,-0.24438187,0,0.24438187
mz.241.15517499999999,0.24365321,0,0.24365321
mz.438.031585,0.24363258,0,0.24363258
mz.619.98383,0.24351266,0,0.24351266
mz.320.064795,0.24345738,0,0.24345738
mz.387.00979,0.24332415,0,0.24332415
