gene,msi,component,r,r_abs
Pacs2,mz.431.08737,0,-0.30485302,0.30485302
Nnat,mz.427.13472,0,0.3046079,0.3046079
Olfm1,mz.326.11793,0,0.3045761,0.3045761
Olfm1,mz.408.12338,0,0.30456632,0.30456632
Endod1,mz.354.14918,0,-0.30453497,0.30453497
Nrgn,mz.416.11226,0,0.30445218,0.30445218
Mobp,mz.408.12338,0,-0.30382824,0.30382824
Nrgn,mz.469.04201,0,0.30367142,0.30367142
Bc1,mz.469.04201,0,0.30326575,0.30326575
Slc17a7,mz.311.1529,0,0.30207124,0.30207124
Nnat,mz.555.04915,0,0.30205974,0.30205974
Nnat,mz.427.14125,0,0.30200127,0.30200127
Olfm1,mz.433.07846,0,0.3017872,0.3017872
Rpl4,mz.469.04201,0,-0.30127692,0.30127692
Nnat,mz.428.14952,0,0.30054998,0.30054998
Mobp,mz.415.10892,0,-0.3003447,0.3003447
Bc1,mz.416.11226,0,0.30014765,0.30014765
Nrgn,mz.433.08939,0,0.30008703,0.30008703
Olfm1,mz.431.08737,0,0.2999469,0.2999469
Endod1,mz.427.13255,0,-0.29964608,0.29964608
Nnat,mz.697.2391,0,0.29931778,0.29931778
Endod1,mz.433.08094,0,-0.2990142,0.2990142
Malat1,mz.415.10892,0,0.2988628,0.2988628
Mobp,mz.458.16003,0,-0.29869276,0.29869276
Nrgn,mz.453.06455,0,0.29865903,0.29865903
Endod1,mz.415.10892,0,-0.29837558,0.29837558
Nnat,mz.382.14402,0,0.29804868,0.29804868
Endod1,mz.398.13898,0,-0.2979039,0.2979039
Olfm1,mz.469.03851,0,0.29730958,0.29730958
Nnat,mz.458.16003,0,0.2971412,0.2971412
Endod1,mz.354.1128,0,-0.29679853,0.29679853
Endod1,mz.862.09285,0,-0.29633147,0.29633147
Pacs2,mz.433.08939,0,-0.29610944,0.29610944
Mobp,mz.469.03851,0,-0.29585284,0.29585284
Bc1,mz.431.08737,0,0.29528287,0.29528287
Pacs2,mz.622.29085,0,-0.29519737,0.29519737
Slc17a7,mz.351.14952,0,0.29466096,0.29466096
Mobp,mz.433.07846,0,-0.29425097,0.29425097
Malat1,mz.554.0458,0,0.2940721,0.2940721
Pacs2,mz.469.04201,0,-0.29362294,0.29362294
Rpl4,mz.622.29085,0,-0.29256624,0.29256624
Olfm1,mz.458.16003,0,0.2924058,0.2924058
Bc1,mz.310.12302,0,0.2916631,0.2916631
Malat1,mz.697.23266,0,0.29146415,0.29146415
Malat1,mz.698.23612,0,0.29048818,0.29048818
Pacs2,mz.311.1529,0,-0.29006553,0.29006553
Pacs2,mz.310.12302,0,-0.28907973,0.28907973
Malat1,mz.382.14402,0,0.28880578,0.28880578
Bc1,mz.433.08939,0,0.28876078,0.28876078
Malat1,mz.431.08294,0,0.2886579,0.2886579
Pacs2,mz.431.07851,0,-0.28827095,0.28827095
Rpl4,mz.310.12302,0,-0.28820312,0.28820312
Cpne7,mz.697.23266,0,0.2881122,0.2881122
Bc1,mz.453.06455,0,0.2880844,0.2880844
Rpl4,mz.862.08498,0,-0.2878887,0.2878887
Ptk2b,mz.554.0458,0,0.28737968,0.28737968
Nrgn,mz.470.04199,0,0.2868899,0.2868899
Endod1,mz.556.05285,0,-0.2867942,0.2867942
Malat1,mz.432.08618,0,0.28670555,0.28670555
Malat1,mz.428.14952,0,0.28633714,0.28633714
Nnat,mz.482.10025,0,0.2859006,0.2859006
Mobp,mz.431.08737,0,-0.28585947,0.28585947
Nnat,mz.354.14918,0,0.28577542,0.28577542
Nnat,mz.354.1128,0,0.28565928,0.28565928
Slc17a7,mz.429.0767,0,0.28564608,0.28564608
Mobp,mz.416.11226,0,-0.28544408,0.28544408
Bc1,mz.470.04199,0,0.28534824,0.28534824
Rpl4,mz.470.04199,0,-0.28500947,0.28500947
Malat1,mz.555.04915,0,0.2849442,0.2849442
Endod1,mz.338.1179,0,-0.2848464,0.2848464
Malat1,mz.697.2391,0,0.2845918,0.2845918
Malat1,mz.354.14918,0,0.2841286,0.2841286
Endod1,mz.416.11226,0,-0.28392217,0.28392217
Rpl4,mz.407.14256,0,-0.28390005,0.28390005
Nnat,mz.398.13898,0,0.28346974,0.28346974
Endod1,mz.408.12338,0,-0.28307158,0.28307158
Endod1,mz.383.14755,0,-0.28305843,0.28305843
Pacs2,mz.470.04199,0,-0.28302425,0.28302425
Mobp,mz.469.04201,0,-0.28281102,0.28281102
Rpl4,mz.311.1529,0,-0.28275543,0.28275543
mt-Co2,mz.432.08618,0,0.28268477,0.28268477
Ptk2b,mz.697.23266,0,0.28249687,0.28249687
Nrgn,mz.862.08498,0,0.2818678,0.2818678
Pacs2,mz.352.13361,0,-0.28102767,0.28102767
Rpl4,mz.431.07851,0,-0.2807336,0.2807336
Stmn4,mz.554.0458,0,-0.28040457,0.28040457
Mag,mz.554.0458,0,-0.28029135,0.28029135
Endod1,mz.326.11793,0,-0.27992833,0.27992833
Mobp,mz.310.12302,0,-0.27982777,0.27982777
Nnat,mz.427.13255,0,0.2796774,0.2796774
Ptgds,mz.697.23266,0,-0.27962744,0.27962744
Malat1,mz.458.16003,0,0.27943844,0.27943844
Nrgn,mz.431.07851,0,0.27929592,0.27929592
Malat1,mz.433.08094,0,0.2790649,0.2790649
mt-Co2,mz.382.14402,0,0.27872697,0.27872697
Plp1,mz.697.23266,0,-0.27855515,0.27855515
Endod1,mz.482.10025,0,-0.27852705,0.27852705
Plp1,mz.698.23612,0,-0.27852497,0.27852497
Mag,mz.697.23266,0,-0.27827322,0.27827322
mt-Nd3,mz.428.14952,0,0.2781843,0.2781843
mt-Co2,mz.554.0458,0,0.2781399,0.2781399
Plp1,mz.554.0458,0,-0.27813601,0.27813601
Olfm1,mz.469.04201,0,0.27754524,0.27754524
Mobp,mz.453.06455,0,-0.27747673,0.27747673
Malat1,mz.427.13472,0,0.2771056,0.2771056
Cpne7,mz.554.0458,0,0.27701843,0.27701843
Nnat,mz.383.14755,0,0.2766264,0.2766264
Cpne7,mz.698.23612,0,0.27659586,0.27659586
mt-Co2,mz.431.08294,0,0.27655792,0.27655792
mt-Nd3,mz.554.0458,0,0.27650824,0.27650824
Pvalb,mz.697.23266,0,-0.27647257,0.27647257
Endod1,mz.433.07846,0,-0.27642596,0.27642596
Mobp,mz.433.08939,0,-0.27587944,0.27587944
Malat1,mz.338.1179,0,0.27587217,0.27587217
Stmn4,mz.697.23266,0,-0.27547038,0.27547038
mt-Co2,mz.428.14952,0,0.27545664,0.27545664
Malat1,mz.354.1128,0,0.27527303,0.27527303
Malat1,mz.398.13898,0,0.27524287,0.27524287
mt-Nd3,mz.354.1128,0,0.27511156,0.27511156
Ptgds,mz.554.0458,0,-0.27505863,0.27505863
Mag,mz.555.04915,0,-0.2744491,0.2744491
Ptk2b,mz.555.04915,0,0.27433845,0.27433845
Nnat,mz.338.1179,0,0.27405983,0.27405983
Endod1,mz.469.03851,0,-0.2740147,0.2740147
Olfm1,mz.415.10892,0,0.273961,0.273961
Mag,mz.698.23612,0,-0.27392948,0.27392948
Stmn4,mz.698.23612,0,-0.27347523,0.27347523
Cpne7,mz.697.2391,0,0.27329248,0.27329248
mt-Co2,mz.354.14918,0,0.27298826,0.27298826
Ptk2b,mz.697.2391,0,0.2726888,0.2726888
Ptk2b,mz.698.23612,0,0.2726425,0.2726425
Bc1,mz.622.29085,0,0.2721917,0.2721917
mt-Nd3,mz.398.13898,0,0.27214694,0.27214694
Ptgds,mz.698.23612,0,-0.2721325,0.2721325
mt-Co2,mz.354.1128,0,0.2720817,0.2720817
Ptk2b,mz.431.08294,0,0.2720689,0.2720689
mt-Nd3,mz.354.14918,0,0.27199757,0.27199757
mt-Co2,mz.398.13898,0,0.27185374,0.27185374
Ptk2b,mz.382.14402,0,0.2717412,0.2717412
Ptk2b,mz.432.08618,0,0.2716065,0.2716065
Pvalb,mz.554.0458,0,-0.27103224,0.27103224
Plp1,mz.555.04915,0,-0.27082875,0.27082875
Ptgds,mz.555.04915,0,-0.27060926,0.27060926
Stmn4,mz.427.13472,0,-0.27053052,0.27053052
Pvalb,mz.697.2391,0,-0.2704987,0.2704987
mt-Nd3,mz.382.14402,0,0.2703695,0.2703695
Malat1,mz.416.11226,0,0.2703633,0.2703633
Mag,mz.428.14952,0,-0.2703159,0.2703159
Ptgds,mz.697.2391,0,-0.27006483,0.27006483
Stmn4,mz.555.04915,0,-0.27000192,0.27000192
Mag,mz.697.2391,0,-0.26994157,0.26994157
mt-Co2,mz.555.04915,0,0.26970887,0.26970887
mt-Nd3,mz.432.08618,0,0.26957828,0.26957828
mt-Nd3,mz.555.04915,0,0.26945138,0.26945138
Olfm1,mz.352.13361,0,0.26932043,0.26932043
Olfm1,mz.862.08498,0,0.2690377,0.2690377
Pvalb,mz.698.23612,0,-0.2690246,0.2690246
Olfm1,mz.310.12302,0,0.26896626,0.26896626
mt-Atp6,mz.354.1128,0,0.26856288,0.26856288
Cpne7,mz.555.04915,0,0.26849157,0.26849157
Olfm1,mz.433.08939,0,0.26829547,0.26829547
Malat1,mz.427.14125,0,0.2681582,0.2681582
mt-Nd3,mz.427.13472,0,0.2680701,0.2680701
Ptk2b,mz.428.14952,0,0.26800942,0.26800942
Endod1,mz.453.06455,0,-0.26788238,0.26788238
Stmn4,mz.428.14952,0,-0.2678631,0.2678631
Stmn4,mz.382.14402,0,-0.26745287,0.26745287
Endod1,mz.458.16003,0,-0.26741916,0.26741916
Olfm1,mz.470.04199,0,0.26720148,0.26720148
Mag,mz.382.14402,0,-0.26717985,0.26717985
Nrgn,mz.310.12302,0,0.26692474,0.26692474
mt-Co2,mz.862.09285,0,0.2668143,0.2668143
Olfm1,mz.431.07851,0,0.26670432,0.26670432
Rpl4,mz.352.13361,0,-0.26656845,0.26656845
Stmn4,mz.697.2391,0,-0.26653382,0.26653382
Malat1,mz.433.07846,0,0.26652795,0.26652795
Malat1,mz.862.09285,0,0.26618996,0.26618996
mt-Co2,mz.427.13472,0,0.26572952,0.26572952
Mobp,mz.311.1529,0,-0.26558778,0.26558778
Cpne7,mz.428.14952,0,0.26546898,0.26546898
Pacs2,mz.862.08498,0,-0.26523814,0.26523814
Nnat,mz.326.11793,0,0.26485384,0.26485384
mt-Nd3,mz.427.14125,0,0.26476365,0.26476365
Endod1,mz.431.08737,0,-0.26467562,0.26467562
Plp1,mz.428.14952,0,-0.26462734,0.26462734
Sparc,mz.432.08618,0,-0.26460165,0.26460165
Mag,mz.427.13472,0,-0.264571,0.264571
Cpne7,mz.427.14125,0,0.26454976,0.26454976
mt-Nd4,mz.554.0458,0,0.26442772,0.26442772
Bc1,mz.311.1529,0,0.26418978,0.26418978
Mobp,mz.622.29085,0,-0.2640513,0.2640513
Plp1,mz.697.2391,0,-0.26399225,0.26399225
mt-Nd3,mz.338.1179,0,0.26398343,0.26398343
Malat1,mz.469.03851,0,0.26370955,0.26370955
mt-Atp6,mz.428.14952,0,0.26362252,0.26362252
Ptk2b,mz.427.13472,0,0.2636214,0.2636214
Nnat,mz.556.05285,0,0.26359007,0.26359007
Sparc,mz.431.08294,0,-0.26354796,0.26354796
mt-Co2,mz.338.1179,0,0.26354736,0.26354736
mt-Co2,mz.697.23266,0,0.26292285,0.26292285
mt-Co2,mz.427.14125,0,0.26289544,0.26289544
mt-Atp6,mz.432.08618,0,0.26277518,0.26277518
Vamp1,mz.554.0458,0,-0.2626255,0.2626255
Nrgn,mz.352.13361,0,0.26259962,0.26259962
mt-Atp6,mz.554.0458,0,0.26231116,0.26231116
Vamp1,mz.697.23266,0,-0.26230133,0.26230133
mt-Atp6,mz.398.13898,0,0.26211575,0.26211575
Bc1,mz.431.07851,0,0.2621063,0.2621063
Cpne7,mz.427.13472,0,0.2620318,0.2620318
Endod1,mz.433.08939,0,-0.2616172,0.2616172
mt-Atp6,mz.382.14402,0,0.2615829,0.2615829
Malat1,mz.383.14755,0,0.26133418,0.26133418
Plp1,mz.427.13472,0,-0.26129022,0.26129022
mt-Atp6,mz.354.14918,0,0.26119453,0.26119453
mt-Nd3,mz.862.09285,0,0.26116854,0.26116854
mt-Nd3,mz.431.08294,0,0.26098365,0.26098365
Mag,mz.427.14125,0,-0.26091287,0.26091287
mt-Nd4,mz.428.14952,0,0.2607216,0.2607216
mt-Nd3,mz.697.23266,0,0.26053303,0.26053303
Vamp1,mz.698.23612,0,-0.2600329,0.2600329
Mobp,mz.431.07851,0,-0.2599547,0.2599547
mt-Co2,mz.698.23612,0,0.25989878,0.25989878
mt-Nd3,mz.383.14755,0,0.25983268,0.25983268
Ptgds,mz.382.14402,0,-0.2597938,0.2597938
Stmn4,mz.354.14918,0,-0.25961834,0.25961834
mt-Atp6,mz.862.09285,0,0.25956625,0.25956625
mt-Atp6,mz.427.13472,0,0.25938284,0.25938284
Stmn4,mz.427.14125,0,-0.2590933,0.2590933
mt-Nd4,mz.354.14918,0,0.25904,0.25904
mt-Nd4,mz.432.08618,0,0.2589963,0.2589963
mt-Nd4,mz.354.1128,0,0.25865102,0.25865102
mt-Nd3,mz.326.11793,0,0.25864196,0.25864196
Malat1,mz.482.10025,0,0.25851482,0.25851482
Malat1,mz.453.06455,0,0.2584164,0.2584164
Cpne7,mz.383.14755,0,0.25837857,0.25837857
Nrgn,mz.407.14256,0,0.25814265,0.25814265
Pvalb,mz.555.04915,0,-0.25813106,0.25813106
Pacs2,mz.407.14256,0,-0.25804684,0.25804684
Mag,mz.354.1128,0,-0.25780886,0.25780886
Nnat,mz.408.12338,0,0.2574642,0.2574642
mt-Nd3,mz.698.23612,0,0.25745678,0.25745678
Malat1,mz.326.11793,0,0.25724086,0.25724086
Mobp,mz.352.13361,0,-0.25717014,0.25717014
Endod1,mz.311.1529,0,-0.25713208,0.25713208
mt-Co2,mz.383.14755,0,0.25710684,0.25710684
Ptk2b,mz.427.14125,0,0.25701275,0.25701275
Ptk2b,mz.398.13898,0,0.25691095,0.25691095
Olfm1,mz.416.11226,0,0.25689226,0.25689226
Plp1,mz.383.14755,0,-0.2568857,0.2568857
Ptk2b,mz.354.14918,0,0.25686407,0.25686407
mt-Nd3,mz.697.2391,0,0.2568081,0.2568081
mt-Nd3,mz.482.10025,0,0.25654092,0.25654092
Ptgds,mz.428.14952,0,-0.25635594,0.25635594
mt-Nd4,mz.555.04915,0,0.25580925,0.25580925
mt-Atp6,mz.555.04915,0,0.25578642,0.25578642
Endod1,mz.431.07851,0,-0.25576967,0.25576967
mt-Co2,mz.482.10025,0,0.25576824,0.25576824
Slc17a7,mz.311.15701,0,0.25568062,0.25568062
Plp1,mz.382.14402,0,-0.25544927,0.25544927
Cpne7,mz.458.16003,0,0.2552868,0.2552868
Malat1,mz.556.05285,0,0.25513685,0.25513685
mt-Nd3,mz.427.13255,0,0.25510305,0.25510305
Poglut1,mz.431.08294,0,-0.25500113,0.25500113
Pvalb,mz.382.14402,0,-0.25499016,0.25499016
Vamp1,mz.555.04915,0,-0.2546673,0.2546673
Endod1,mz.469.04201,0,-0.25465918,0.25465918
Vamp1,mz.697.2391,0,-0.25441068,0.25441068
Poglut1,mz.432.08618,0,-0.25432092,0.25432092
mt-Co2,mz.415.10892,0,0.25425863,0.25425863
Vamp1,mz.431.08294,0,-0.2541254,0.2541254
mt-Nd4,mz.862.09285,0,0.2540202,0.2540202
mt-Atp6,mz.427.14125,0,0.25394684,0.25394684
mt-Co2,mz.697.2391,0,0.2539032,0.2539032
Rpl4,mz.311.15701,0,-0.2538474,0.2538474
Pvalb,mz.427.13472,0,-0.25352287,0.25352287
mt-Co2,mz.326.11793,0,0.25351754,0.25351754
mt-Nd4,mz.382.14402,0,0.2533061,0.2533061
Ptgds,mz.431.08294,0,-0.25327754,0.25327754
Plp1,mz.427.14125,0,-0.2532281,0.2532281
mt-Nd4,mz.697.23266,0,0.2531442,0.2531442
mt-Nd4,mz.427.13472,0,0.2530891,0.2530891
