gene,w,component,w_abs
Fxyd3,-5.361915e-06,1,5.361915e-06
Gpx3,5.3178733e-06,1,5.3178733e-06
Kif21a,5.2975374e-06,1,5.2975374e-06
Taf1d,-5.2905484e-06,1,5.2905484e-06
Gm49032,5.2834694e-06,1,5.2834694e-06
Dnajc27,5.2726423e-06,1,5.2726423e-06
Mamdc4,-5.27203e-06,1,5.27203e-06
Itpripl2,5.2596897e-06,1,5.2596897e-06
Cpne9,5.235291e-06,1,5.235291e-06
Tm7sf3,-5.231796e-06,1,5.231796e-06
2310009A05Rik,-5.2087817e-06,1,5.2087817e-06
Ttc30b,-5.203395e-06,1,5.203395e-06
Elovl1,5.199971e-06,1,5.199971e-06
Prlr,-5.1979873e-06,1,5.1979873e-06
Paf1,5.1813863e-06,1,5.1813863e-06
Arglu1,5.1706897e-06,1,5.1706897e-06
Daam2,5.165204e-06,1,5.165204e-06
Lag3,-5.1571847e-06,1,5.1571847e-06
Plpbp,5.1516913e-06,1,5.1516913e-06
Prob1,-5.1280344e-06,1,5.1280344e-06
Ttr,-5.1192555e-06,1,5.1192555e-06
Hotairm1,-5.1085162e-06,1,5.1085162e-06
Kcnmb4os2,-5.097497e-06,1,5.097497e-06
Cyp2j12,-5.0903795e-06,1,5.0903795e-06
Nkx6-2,5.0736726e-06,1,5.0736726e-06
Xlr,-5.069582e-06,1,5.069582e-06
Casp2,5.0686895e-06,1,5.0686895e-06
Tmem189,-5.065951e-06,1,5.065951e-06
Rarres2,5.0656326e-06,1,5.0656326e-06
Pdgfd,5.0212475e-06,1,5.0212475e-06
Cort,5.0188532e-06,1,5.0188532e-06
Man2b2,-4.991096e-06,1,4.991096e-06
Slc6a3,-4.961323e-06,1,4.961323e-06
Edaradd,-4.956339e-06,1,4.956339e-06
Rnf149,-4.9505848e-06,1,4.9505848e-06
Gm20628,-4.938584e-06,1,4.938584e-06
Lpar1,-4.9295313e-06,1,4.9295313e-06
Ppp1r14b,4.9282853e-06,1,4.9282853e-06
Gtse1,4.9243517e-06,1,4.9243517e-06
Cd74,4.9165105e-06,1,4.9165105e-06
Ypel4,4.9107953e-06,1,4.9107953e-06
Mag,4.909188e-06,1,4.909188e-06
Tbc1d32,-4.8873144e-06,1,4.8873144e-06
AA386476,4.8703087e-06,1,4.8703087e-06
Prkcd,-4.865526e-06,1,4.865526e-06
Acad9,4.8596494e-06,1,4.8596494e-06
Ramp3,-4.850903e-06,1,4.850903e-06
Slc35g1,-4.8422403e-06,1,4.8422403e-06
D830030K20Rik,-4.837539e-06,1,4.837539e-06
Polm,4.8363104e-06,1,4.8363104e-06
Fryl,-4.819385e-06,1,4.819385e-06
Arhgap4,4.813149e-06,1,4.813149e-06
Prkch,4.8130883e-06,1,4.8130883e-06
Abcc5,-4.7948615e-06,1,4.7948615e-06
4930539J05Rik,-4.794776e-06,1,4.794776e-06
Plagl2,4.785085e-06,1,4.785085e-06
Cxxc1,-4.784188e-06,1,4.784188e-06
Mmp15,4.768328e-06,1,4.768328e-06
Slc6a9,4.767041e-06,1,4.767041e-06
Ypel5,-4.7668977e-06,1,4.7668977e-06
2610037D02Rik,-4.7618623e-06,1,4.7618623e-06
Dusp26,4.758818e-06,1,4.758818e-06
Pkn3,-4.7565236e-06,1,4.7565236e-06
Mrpl27,4.747672e-06,1,4.747672e-06
Tnfaip2,-4.734572e-06,1,4.734572e-06
Pacs2,-4.72626e-06,1,4.72626e-06
Siglech,4.720212e-06,1,4.720212e-06
Gm9844,-4.6957744e-06,1,4.6957744e-06
Proser2,-4.687235e-06,1,4.687235e-06
Cd55,-4.685647e-06,1,4.685647e-06
Zfp319,4.6843707e-06,1,4.6843707e-06
Tmem212,-4.684292e-06,1,4.684292e-06
Wtip,-4.683832e-06,1,4.683832e-06
Pycr1,-4.6785376e-06,1,4.6785376e-06
Arsj,-4.678311e-06,1,4.678311e-06
Tango6,-4.6728205e-06,1,4.6728205e-06
Ighm,-4.6621376e-06,1,4.6621376e-06
Nup107,4.6617633e-06,1,4.6617633e-06
2810002D19Rik,4.649674e-06,1,4.649674e-06
Zfp52,-4.6383125e-06,1,4.6383125e-06
Rnf130,-4.6375003e-06,1,4.6375003e-06
Ikbkb,4.6344626e-06,1,4.6344626e-06
Rpl4,-4.6136656e-06,1,4.6136656e-06
Gm20939,-4.6120267e-06,1,4.6120267e-06
Map7,4.603839e-06,1,4.603839e-06
Igfbp3,4.6021496e-06,1,4.6021496e-06
Tob2,-4.5863694e-06,1,4.5863694e-06
Timm50,4.5832985e-06,1,4.5832985e-06
Atp1a2,4.571779e-06,1,4.571779e-06
Gm10134,4.5647894e-06,1,4.5647894e-06
Gtf2a2,4.5534157e-06,1,4.5534157e-06
Tial1,4.5492907e-06,1,4.5492907e-06
Cit,4.546778e-06,1,4.546778e-06
Gm32926,-4.531284e-06,1,4.531284e-06
Mark3,-4.5293787e-06,1,4.5293787e-06
Elmo1,4.5157217e-06,1,4.5157217e-06
Gjc1,4.5143606e-06,1,4.5143606e-06
Emid1,-4.5099696e-06,1,4.5099696e-06
Ccnl2,-4.491435e-06,1,4.491435e-06
Mro,-4.4756216e-06,1,4.4756216e-06
Ap1g2,-4.4726507e-06,1,4.4726507e-06
Adam18,4.4580624e-06,1,4.4580624e-06
Tmco4,-4.4580165e-06,1,4.4580165e-06
Gm26592,4.457531e-06,1,4.457531e-06
Nfic,-4.455461e-06,1,4.455461e-06
Lta4h,4.4551493e-06,1,4.4551493e-06
Rorc,4.441515e-06,1,4.441515e-06
Poglut2,-4.429899e-06,1,4.429899e-06
2810429I04Rik,-4.4227477e-06,1,4.4227477e-06
Arhgap22,4.4206386e-06,1,4.4206386e-06
Elmod3,-4.4167073e-06,1,4.4167073e-06
