msi,w,component,w_abs
mz.295.1232,0.3153143,0,0.3153143
mz.191.41903,-0.31407034,0,0.31407034
mz.288.11651,-0.31349292,0,0.31349292
mz.773.52705,0.31344965,0,0.31344965
mz.705.14765,-0.31316102,0,0.31316102
mz.553.22278,0.3125933,0,0.3125933
mz.704.1538,-0.31146833,0,0.31146833
mz.411.14234,0.31116858,0,0.31116858
mz.573.21671,-0.31046993,0,0.31046993
mz.587.24869,-0.31023508,0,0.31023508
mz.507.18579,0.31018344,0,0.31018344
mz.667.25907,0.30919805,0,0.30919805
mz.589.19205,0.30915806,0,0.30915806
mz.288.12377,-0.30910584,0,0.30910584
mz.364.13349,0.30882934,0,0.30882934
mz.839.30781,0.30817172,0,0.30817172
mz.622.27135,0.30779243,0,0.30779243
mz.670.28419,0.30748126,0,0.30748126
mz.830.14921,0.30671278,0,0.30671278
mz.522.20914,0.30655098,0,0.30655098
mz.324.15798,0.30654046,0,0.30654046
mz.172.43579,0.30634102,0,0.30634102
mz.704.15642,-0.30612803,0,0.30612803
mz.311.15624,0.30554363,0,0.30554363
mz.663.94681,0.3050487,0,0.3050487
mz.574.22262,-0.30475336,0,0.30475336
mz.841.33952,-0.3045891,0,0.3045891
mz.603.21873,0.30430633,0,0.30430633
mz.567.20638,0.30412772,0,0.30412772
mz.694.24144,0.304062,0,0.304062
mz.856.24546,0.30400836,0,0.30400836
mz.360.15968,0.30379117,0,0.30379117
mz.557.20205,0.3036018,0,0.3036018
mz.713.45134,0.30274627,0,0.30274627
mz.623.23307,0.3026488,0,0.3026488
mz.860.34399,-0.30256164,0,0.30256164
mz.443.13675,0.30253032,0,0.30253032
mz.540.21538,0.30178863,0,0.30178863
mz.558.20573,0.30133036,0,0.30133036
mz.369.16015,0.3011952,0,0.3011952
mz.826.32092,-0.30073288,0,0.30073288
mz.419.12742,0.30069622,0,0.30069622
mz.827.32522,-0.30052438,0,0.30052438
mz.288.12058,-0.3003277,0,0.3003277
mz.737.4309,0.2995203,0,0.2995203
mz.234.39054,-0.29911682,0,0.29911682
mz.288.12333,-0.2985374,0,0.2985374
mz.575.2474,-0.29853266,0,0.29853266
mz.536.03577,0.29848567,0,0.29848567
mz.861.34823,-0.29826987,0,0.29826987
mz.234.72521,-0.2977877,0,0.2977877
mz.302.10017,0.2967186,0,0.2967186
mz.310.14238,0.29641008,0,0.29641008
mz.289.12575,-0.2963096,0,0.2963096
mz.553.22076,0.2961971,0,0.2961971
mz.432.2324,0.2960467,0,0.2960467
mz.716.2042,0.29583296,0,0.29583296
mz.648.1166,0.2956779,0,0.2956779
mz.587.23224,0.29495135,0,0.29495135
mz.703.12607,-0.29455003,0,0.29455003
mz.326.08553,0.29444847,0,0.29444847
mz.588.25223,-0.2938737,0,0.2938737
mz.701.22676,0.29385468,0,0.29385468
mz.437.09076,0.29376486,0,0.29376486
mz.541.17038,0.29362234,0,0.29362234
mz.327.14962,0.29236194,0,0.29236194
mz.288.12597,-0.29235086,0,0.29235086
mz.631.26782,0.2921252,0,0.2921252
mz.290.13428,-0.29158345,0,0.29158345
mz.297.14121,0.29128075,0,0.29128075
mz.553.19116,0.29111764,0,0.29111764
mz.288.12113,-0.2907146,0,0.2907146
mz.864.09801,0.29029524,0,0.29029524
mz.339.1859,0.2901392,0,0.2901392
mz.585.21692,0.28986275,0,0.28986275
mz.858.34936,-0.28975222,0,0.28975222
mz.540.24477,0.28957143,0,0.28957143
mz.516.16553,0.28956532,0,0.28956532
mz.706.15091,-0.28909373,0,0.28909373
mz.849.55898,0.28867763,0,0.28867763
mz.578.21224,-0.2879114,0,0.2879114
mz.381.17134,0.28711993,0,0.28711993
mz.705.15489,-0.28694358,0,0.28694358
mz.288.1186,-0.28641802,0,0.28641802
mz.718.19314,0.28636628,0,0.28636628
mz.703.12083,-0.28593448,0,0.28593448
mz.622.27648,0.2859215,0,0.2859215
mz.297.13747,0.28590587,0,0.28590587
mz.681.13955,-0.2852384,0,0.2852384
mz.459.16353,0.28388852,0,0.28388852
mz.314.15415,0.28352454,0,0.28352454
mz.577.23557,-0.2829899,0,0.2829899
mz.229.30061,-0.28178677,0,0.28178677
mz.591.20758,0.2817412,0,0.2817412
mz.309.10828,0.2810197,0,0.2810197
mz.311.15034,0.28027144,0,0.28027144
mz.574.24926,-0.2800105,0,0.2800105
mz.586.22035,0.27971205,0,0.27971205
mz.738.43429,0.27921268,0,0.27921268
mz.495.20244,0.27880722,0,0.27880722
mz.362.15427,0.27879322,0,0.27879322
mz.329.16526,0.27831337,0,0.27831337
mz.888.20977,0.27818674,0,0.27818674
mz.496.20629,0.2780997,0,0.2780997
mz.523.19829,0.27731207,0,0.27731207
mz.284.50693,0.2773083,0,0.2773083
mz.504.21722,0.2769981,0,0.2769981
mz.554.226,0.27662405,0,0.27662405
mz.310.14672,0.27646506,0,0.27646506
mz.297.13689,0.2759715,0,0.2759715
mz.572.24122,-0.27499643,0,0.27499643
mz.576.23229,-0.27468088,0,0.27468088
mz.296.12668,0.2742727,0,0.2742727
mz.769.56067,0.27379024,0,0.27379024
mz.571.23792,-0.27363786,0,0.27363786
mz.842.15796,0.27352753,0,0.27352753
mz.602.2154,0.27343792,0,0.27343792
mz.521.20538,0.27318686,0,0.27318686
mz.808.33109,-0.2729853,0,0.2729853
mz.529.19048,0.2716531,0,0.2716531
mz.391.12097,0.27119067,0,0.27119067
mz.696.25713,0.27020815,0,0.27020815
mz.738.17868,0.27019948,0,0.27019948
mz.185.0806,-0.27012017,0,0.27012017
mz.587.22402,0.26996762,0,0.26996762
mz.312.15183,0.26995164,0,0.26995164
mz.382.17459,0.26994753,0,0.26994753
mz.982.34642,0.2699004,0,0.2699004
mz.569.22252,0.26954502,0,0.26954502
mz.729.25848,0.26941308,0,0.26941308
mz.809.33463,-0.2690618,0,0.2690618
mz.644.28056,0.2688982,0,0.2688982
mz.756.55062,0.2687797,0,0.2687797
mz.826.28474,0.2686549,0,0.2686549
mz.701.31536,0.2681895,0,0.2681895
mz.713.24507,0.2678863,0,0.2678863
mz.299.14564,0.26686585,0,0.26686585
mz.859.35286,-0.2666636,0,0.2666636
mz.573.24718,-0.2659662,0,0.2659662
mz.575.21321,0.2658233,0,0.2658233
mz.617.20708,0.2649582,0,0.2649582
mz.569.22639,0.2649304,0,0.2649304
mz.497.2188,0.26489878,0,0.26489878
mz.557.20658,0.2646493,0,0.2646493
mz.289.11568,-0.26452175,0,0.26452175
mz.601.21158,0.26439717,0,0.26439717
mz.404.18423,0.26424327,0,0.26424327
mz.570.22564,0.26357472,0,0.26357472
mz.409.13156,0.26333493,0,0.26333493
mz.838.30494,0.26274297,0,0.26274297
