gene,msi,component,r,r_abs
Rgs9,mz.271.00396,5,0.34067062,0.34067062
Gpr88,mz.573.92018,5,0.3404291,0.3404291
Drd1,mz.275.03193999999996,5,0.34039518,0.34039518
Pcp4,mz.573.92474,5,0.34039253,0.34039253
Spock3,mz.288.976055,5,0.33967447,0.33967447
Bcl11b,mz.288.973745,5,0.33966935,0.33966935
Adora2a,mz.287.96182,5,0.33964884,0.33964884
Scn4b,mz.287.96182,5,0.33953765,0.33953765
Pde1b,mz.506.07591,5,0.3395065,0.3395065
Adora2a,mz.541.97996,5,0.3393615,0.3393615
Pde10a,mz.278.03395,5,0.33935642,0.33935642
Olfm1,mz.312.973185,5,-0.3392831,0.3392831
Tesc,mz.296.99915,5,0.3390751,0.3390751
Gpr6,mz.288.973745,5,0.33906314,0.33906314
Stmn1,mz.312.973185,5,-0.33881998,0.33881998
Drd1,mz.312.973185,5,0.33869672,0.33869672
Arpp21,mz.287.96182,5,0.33838588,0.33838588
Vsnl1,mz.288.973745,5,-0.33838537,0.33838537
Rgs9,mz.506.07591,5,0.33817756,0.33817756
Cd4,mz.253.049875,5,0.3381343,0.3381343
Pcp4l1,mz.288.976055,5,0.33788294,0.33788294
Six3,mz.312.973185,5,0.33759606,0.33759606
Calb1,mz.288.976055,5,0.33737743,0.33737743
Six3,mz.275.01739,5,0.33716214,0.33716214
Inf2,mz.296.99915,5,0.3369165,0.3369165
Hpca,mz.288.973745,5,0.33671862,0.33671862
Rgs9,mz.271.00518,5,0.33666348,0.33666348
Bcl11b,mz.550.0064150000001,5,0.33631724,0.33631724
Rgs9,mz.272.99984,5,0.33629107,0.33629107
Rasd2,mz.251.961865,5,0.33628023,0.33628023
Foxp1,mz.286.97793,5,0.33623996,0.33623996
Stmn1,mz.253.049875,5,-0.33591,0.33591
Olfm1,mz.207.044645,5,-0.3355055,0.3355055
Adcy5,mz.287.96182,5,0.33525032,0.33525032
Sncb,mz.296.99915,5,-0.33496565,0.33496565
Drd1,mz.286.97941000000003,5,0.33477125,0.33477125
Meis2,mz.275.03193999999996,5,0.33476704,0.33476704
Rasgrp2,mz.296.99915,5,0.3346885,0.3346885
Caln1,mz.275.01739,5,0.3345636,0.3345636
Gng7,mz.288.976055,5,0.3343311,0.3343311
Vsnl1,mz.207.044645,5,-0.33430588,0.33430588
Caln1,mz.312.973185,5,0.33419925,0.33419925
Syndig1l,mz.573.92018,5,0.33410755,0.33410755
Rgs9,mz.541.97996,5,0.33400345,0.33400345
Rxrg,mz.573.92018,5,0.33361673,0.33361673
Tac1,mz.275.01739,5,0.33327538,0.33327538
Drd1,mz.286.97793,5,0.33308604,0.33308604
Meis2,mz.253.049875,5,0.3328924,0.3328924
Pde10a,mz.315.98977,5,0.33233652,0.33233652
Tomm70a,mz.253.049875,5,0.33224526,0.33224526
Gng7,mz.287.96182,5,0.33183318,0.33183318
Rasd2,mz.278.03395,5,0.33139524,0.33139524
Rxrg,mz.506.07591,5,0.33135742,0.33135742
Dmkn,mz.253.049875,5,0.3312081,0.3312081
Cd4,mz.275.03193999999996,5,0.33108568,0.33108568
Pcp4l1,mz.550.0064150000001,5,0.33062404,0.33062404
Pcp4l1,mz.207.044645,5,0.33061284,0.33061284
Tmem158,mz.253.049875,5,0.3305528,0.3305528
Rasgrp2,mz.286.97941000000003,5,0.33055225,0.33055225
Six3,mz.296.99915,5,0.3305395,0.3305395
Adcy5,mz.506.07591,5,0.33035982,0.33035982
Inf2,mz.288.973745,5,0.3300677,0.3300677
Vsnl1,mz.288.976055,5,-0.3300588,0.3300588
Ppp3ca,mz.275.01739,5,0.3299474,0.3299474
Adcy5,mz.271.00396,5,0.32976648,0.32976648
Tmem158,mz.312.973185,5,0.3294462,0.3294462
Rgs9,mz.287.96182,5,0.32934773,0.32934773
Drd2,mz.573.92018,5,0.32915705,0.32915705
Rasgrp2,mz.286.97793,5,0.32888323,0.32888323
Foxp1,mz.573.92474,5,0.32874733,0.32874733
Tomm70a,mz.275.01739,5,0.32845238,0.32845238
Drd2,mz.278.03395,5,0.32828254,0.32828254
Gpr88,mz.251.961865,5,0.32792592,0.32792592
Calb1,mz.550.0064150000001,5,0.3277121,0.3277121
Adcy5,mz.272.99984,5,0.327339,0.327339
Stmn1,mz.275.03193999999996,5,-0.3270652,0.3270652
Arpp21,mz.271.00396,5,0.32703963,0.32703963
Gpr6,mz.288.976055,5,0.32703477,0.32703477
Drd1,mz.573.92474,5,0.32689187,0.32689187
Hpca,mz.312.973185,5,0.32681596,0.32681596
Pcp4,mz.296.99915,5,0.326455,0.326455
Tesc,mz.286.97793,5,0.32626432,0.32626432
Pcp4,mz.275.01739,5,0.32619166,0.32619166
Spock3,mz.287.96182,5,0.32584062,0.32584062
Ppp3ca,mz.296.99915,5,0.3256245,0.3256245
Inf2,mz.312.973185,5,0.32559222,0.32559222
Tesc,mz.286.97941000000003,5,0.32558817,0.32558817
Slc17a7,mz.296.99915,5,-0.32534033,0.32534033
Gpr88,mz.278.03395,5,0.3251006,0.3251006
Tomm70a,mz.275.03193999999996,5,0.32508972,0.32508972
Ppp3ca,mz.312.973185,5,0.32475078,0.32475078
Tmem158,mz.275.01739,5,0.32459438,0.32459438
Ppp1r1b,mz.278.03395,5,0.32440922,0.32440922
Lrrc10b,mz.506.07591,5,0.32437602,0.32437602
Ppp1r1b,mz.573.92018,5,0.32423943,0.32423943
Adcy5,mz.271.00518,5,0.3241896,0.3241896
Calb1,mz.288.973745,5,0.32396442,0.32396442
Adcy5,mz.541.97996,5,0.3239457,0.3239457
Drd2,mz.315.98977,5,0.32387513,0.32387513
Caln1,mz.253.049875,5,0.3236748,0.3236748
Adora2a,mz.573.92018,5,0.32364616,0.32364616
Tomm70a,mz.296.99915,5,0.32363605,0.32363605
Bcl11b,mz.506.07591,5,0.32287267,0.32287267
Rasgrp2,mz.275.01739,5,0.32264733,0.32264733
Lrrc10b,mz.573.92018,5,0.32216465,0.32216465
Tac1,mz.312.973185,5,0.32214552,0.32214552
